TransactionId                                Userid              AccountFrom         AccountTo           Amount              Date and Time                 Type
a6319700441e4597b39b8c0372422ed4             5916                0                   0                   0.0                 Wed Mar 19 14:41:26 IST 2025  ACCOUNTOPEN         
5fd3df5392374666b6a41f3dcfd66dda             7401                0                   0                   10000.0             Wed Mar 19 14:41:37 IST 2025  ACCOUNTOPEN         
e8a25a28e1ca4869ad38a1c78f020f84             3165                0                   0                   10000.0             Wed Mar 19 14:41:56 IST 2025  ACCOUNTOPEN         
4c6756fd30c54122adfd193cd239e62d             1246                0                   0                   0.0                 Wed Mar 19 14:42:11 IST 2025  ACCOUNTOPEN         
947af7cd13454bd99700d896b1fdc705             4289                0                   0                   10000.0             Wed Mar 19 14:42:41 IST 2025  ACCOUNTOPEN         
86e5cbd783fb4186b19bd44bef3d5b19             4289                0                   0                   0.0                 Wed Mar 19 14:43:18 IST 2025  LOGIN               
c824a374091b47b1a3488ef6b398c275             4289                0                   0                   0.0                 Wed Mar 19 14:43:22 IST 2025  LOGIN               
9f82c43332784354916d8e223c78f7b2             4289                0                   0                   0.0                 Wed Mar 19 14:43:48 IST 2025  LOGIN               
da297a7970734f65b49a0ea60dda2cab             4289                428904289           0                   1300.0              Wed Mar 19 14:44:38 IST 2025  WITHDRAW            
ab64bb76e6c24458b4b08a052b35e8e1             3165                316503165           0                   1300.0              Wed Mar 19 14:45:25 IST 2025  WITHDRAW            
0fa5ef0518c64fe9829e2ca1e8911682             3165                316503165           0                   8000.0              Wed Mar 19 14:45:49 IST 2025  WITHDRAW            
f5c4bb4ec07f4cfb9fb87e0f7e4dea84             3165                316503165           0                   4500.0              Wed Mar 19 14:47:08 IST 2025  DEPOSIT             
0b09f6fcf3644c7794c76311fa14c8ec             4289                428904289           316503165           200.0               Wed Mar 19 14:48:28 IST 2025  MONEYTRANSFER       
a23cde8211ca4461bb97f2726be1e9be             4289                0                   0                   0.0                 Wed Mar 19 15:36:53 IST 2025  LOGIN               
3c6e851e28534c2d8be8f5aa6ab237bb             4289                0                   0                   0.0                 Wed Mar 19 15:37:13 IST 2025  LOGIN               
d0141bef85124e88aaa6435c44c036d7             4289                0                   0                   0.0                 Wed Mar 19 15:37:28 IST 2025  LOGIN               
9e48d517fc6c4212b64498ebeab10b87             4289                0                   0                   0.0                 Wed Mar 19 15:40:14 IST 2025  LOGIN               
363cbf6b583a48189c36699186298efa             1246                0                   0                   0.0                 Wed Mar 19 15:41:05 IST 2025  LOGIN               
